dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
1,2,2,4,4,1.2,2.2,1.4,2,2,1,4,3.6,3.4,3.8,3.55555555555556,2.44444444444444,2,1,mixed
2,3,3,4,4,2,2.4,2,2.2,1,1,3.4,3.2,3.2,3.2,4.11111111111111,2.88888888888889,2,2,same-gender female
3,3,3,4,5,1.8,2.2,2,3,2,1,4,4,3.6,4.4,3.55555555555556,3.22222222222222,2,2,same-gender female
4,3,3,5,5,5,2.8,3.6,2.6,1,1,4,3.2,3,3,5.77777777777778,3.44444444444444,2,2,same-gender female
5,2,2,5,1,3.4,3.6,3,2.2,1,1,3.4,3.6,3.6,3.4,3,4.33333333333333,2,1,mixed
7,2,2,5,1,2.2,1.8,2.8,2.6,1,1,3.2,2.2,3.8,3,3,4.77777777777778,2,1,mixed
8,2,3,4,4,2.6,1.6,2.8,1.8,1,1,4.2,4.2,4.2,3.4,4,1.66666666666667,2,1,mixed
9,3,3,5,5,1.8,1.8,2,1.6,1,1,4,3.6,4.2,3,3.66666666666667,1.77777777777778,2,1,mixed
10,2,2,3,3,2.2,4,2.4,2.2,1,1,3.8,4,3.4,3.6,4.22222222222222,3.55555555555556,2,2,same-gender female
11,1,1,4,5,1.2,1.2,2.8,1.4,1,2,4.8,4.6,4.2,3,2.44444444444444,3.11111111111111,2,1,mixed
12,2,2,5,5,1.6,2.2,2,2.6,1,1,3.8,4.2,3.4,3,4.88888888888889,3.55555555555556,2,2,same-gender female
13,2,2,5,5,2,2,2.6,2.2,1,1,3.8,3.8,3,3.4,3.22222222222222,3.22222222222222,2,1,mixed
14,2,2,4,4,1.8,2,3.4,2,1,1,2,3.4,3.6,4.2,4.33333333333333,1,1,1,same-gender male
15,2,2,3,3,1.6,2,1.8,2.4,1,1,3.2,3,3.8,2.6,4.33333333333333,2.77777777777778,2,2,same-gender female
16,1,1,4,4,1.4,1.6,2.2,1.6,1,1,3.2,3.4,3.2,3.4,2.44444444444444,2.33333333333333,2,2,same-gender female
17,2,2,3,3,1.2,1.8,1.8,2.4,1,1,3.4,3.2,3.2,4,2.66666666666667,3.66666666666667,1,1,same-gender male
18,1,1,3,3,1.2,1.2,1.4,1.4,1,2,3.4,3.2,3,3,2.22222222222222,2.55555555555556,2,2,same-gender female
19,1,1,3,3,1.8,1.66666666666667,2.6,1.6,1,1,3.8,3.5,3.8,3,3.88888888888889,2.33333333333333,1,1,same-gender male
20,3,1,1,2,2,1.6,2.6,2,1,1,3,3.2,3.8,3,2.44444444444444,3.22222222222222,1,2,mixed
21,2,2,5,5,1.4,2.4,2,1.8,1,1,4.6,3.6,4,2.8,5,3,2,1,mixed
22,2,1,5,5,2.8,1.8,2.6,1.8,1,1,3.2,3.8,3.6,3.4,3.11111111111111,1.88888888888889,1,2,mixed
23,3,3,4,4,2.8,2.8,2.2,2.6,1,1,3.2,3.6,3.4,3.6,3.66666666666667,4.11111111111111,2,1,mixed
24,3,,4,4,2,2.4,2,2.6,1,1,3.6,3.2,3,3.2,3.44444444444444,1.66666666666667,1,2,mixed
25,3,3,5,5,1.8,1.8,2.2,2,1,1,3,3.2,2.8,3,2.88888888888889,2.55555555555556,2,2,same-gender female
26,2,2,5,4,1.2,4.6,2,3.8,1,1,4,4.2,3.2,4,3.33333333333333,5.11111111111111,2,2,same-gender female
28,2,2,4,3,2.8,2,3.6,1.8,1,1,2.8,3.2,3.4,3.2,3.22222222222222,2.55555555555556,1,1,same-gender male
29,2,3,4,5,1.8,1.6,2,2,1,1,5.2,5,4.6,3.6,4.33333333333333,5.66666666666667,1,1,same-gender male
31,2,3,5,5,3.4,2.2,3.2,2.4,1,1,3.8,3.4,3.4,3,4.33333333333333,3,2,2,same-gender female
32,1,3,4,5,3.2,2,3.2,2,1,1,5,3,2.8,3.4,4.33333333333333,4.33333333333333,1,2,mixed
33,2,2,4,3,2,1.8,1.8,2,1,1,4.4,4.2,2.6,3.6,1.33333333333333,3.33333333333333,2,2,same-gender female
34,3,3,3,4,3,2,2.6,2,1,2,3.33333333333333,4.2,3,4,3.88888888888889,3.11111111111111,2,2,same-gender female
36,1,1,3,4,2.8,1.4,1.4,2,1,1,5,3.6,4.6,3,4.88888888888889,2.55555555555556,1,1,same-gender male
37,1,1,4,4,3.4,1.4,3.6,2.4,1,1,5,3.6,4.2,4.2,1.66666666666667,4.44444444444444,1,2,mixed
38,2,2,5,5,3,1.4,2.8,1,1,1,3.8,2.2,4.8,2,4.33333333333333,2.11111111111111,1,2,mixed
40,2,3,4,1,2.4,3.2,2.4,3.8,2,1,3.2,3.8,3.2,3.2,4.11111111111111,3.77777777777778,2,1,mixed
41,3,3,5,5,2.2,2.4,2.4,2.4,1,1,4.2,4.8,4.4,4.2,1.11111111111111,4.11111111111111,1,2,mixed
42,1,3,5,4,3.2,2.8,2.4,3.4,1,1,4.8,3,4.2,3.2,2.66666666666667,3.55555555555556,2,2,same-gender female
43,1,1,4,4,2.6,3.6,3,3,1,1,3.6,4.4,4,4.2,2.55555555555556,3.11111111111111,1,1,same-gender male
45,1,3,5,5,1.4,1.8,1.4,2,1,1,4.8,4.2,4,3.4,3.66666666666667,3.44444444444444,2,2,same-gender female
47,3,3,4,5,2.6,1,2.4,1.2,1,1,4.4,3.8,3.2,3.8,1.44444444444444,2,1,2,mixed
48,2,1,4,4,2,2.2,2.4,2,1,1,4,3.6,4.4,3,2.66666666666667,2.66666666666667,1,1,same-gender male
49,1,2,4,3,1.8,2.4,2,2.8,1,1,3,4.4,3.6,3.8,3.22222222222222,3,2,2,same-gender female
50,2,1,5,4,2,2,2,1.6,2,1,4.4,4,4,4,4.88888888888889,3.66666666666667,1,1,same-gender male
51,3,3,4,4,1.2,1.6,1.6,1.2,1,1,4.2,3.8,3.6,3.2,2.66666666666667,3.55555555555556,1,2,mixed
52,3,3,4,4,2.2,2,2.8,2.2,1,1,2.2,4.2,3.2,3.6,3.66666666666667,3.44444444444444,1,1,same-gender male
53,3,3,4,4,2,1.2,2.8,1.2,1,1,3,3.4,4,3.4,2.11111111111111,3.55555555555556,2,1,mixed
54,3,3,3,4,2.4,1.4,2,1.8,1,1,3.6,2.2,3.2,2.8,2.88888888888889,3,2,1,mixed
